1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 7 0 0 0 0 0 4 0 1 1 1 1 1 1 1 1
1 1 1 1 0 0 0 6 2 6 1 0 1 1 1 1 1 1 1 1
1 1 1 1 0 2 0 6 1 6 1 0 1 1 1 1 1 1 1 1
1 1 1 1 0 1 5 3 2 2 1 0 1 1 1 1 1 1 1 1
1 1 1 1 0 0 0 1 1 0 1 0 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
//0-grass, 1-wall, 2-brick, 3-player, 4-doors, 5-key, 6-warehouse, 7-exit
